block,ratio
2680,0.18584070796460178
2690,0.1855442926399295
2700,0.1857707509881423
2710,0.18547681539807523
2720,0.18466898954703834
2730,0.1843817787418655
2740,0.185121107266436
2750,0.1848341232227488
2760,0.18454935622317598
2770,0.18426678067550234
2780,0.18499573742540495
2790,0.18521665250637212
2800,0.18543607112616428
2810,0.18515394348376213
2820,0.18636937315944468
2830,0.18608549874266556
2840,0.18580375782881003
2850,0.18552412645590682
2860,0.18622978017420158
2870,0.1869313482216708
2880,0.18762886597938144
2890,0.18783394985614468
2900,0.18755118755118755
2910,0.18727050183598531
2920,0.18699186991869918
2930,0.1867152693398137
2940,0.1864406779661017
2950,0.18664521319388577
2960,0.18827780008028905
2970,0.18847539015606243
2980,0.18772419290554004
2990,0.187450357426529
3000,0.18858954041204437
3010,0.18878357030015797
3020,0.1880409126671912
3030,0.18823529411764706
3040,0.18889323425889715
3050,0.18908382066276802
3060,0.1892732219199378
3070,0.18854045683313975
3080,0.1891891891891892
3090,0.1889188149288188
3100,0.18819471061709467
3110,0.18792971734148206
3120,0.1872146118721461
3130,0.1865049279757392
3140,0.18714555765595464
3150,0.18733509234828497
3160,0.18796992481203006
3170,0.18726591760299627
3180,0.1865671641791045
3190,0.18719761816151842
3200,0.18738404452690166
3210,0.18800888230940044
3220,0.18775359645887127
3230,0.1870635795663359
3240,0.187248076218395
3250,0.1878654970760234
3260,0.18761384335154827
3270,0.1882267441860465
3280,0.1879753712423035
3290,0.18858381502890173
3300,0.1879049676025918
3310,0.18765697883028346
3320,0.1882605583392985
3330,0.18801284338209062
3340,0.18776671408250356
3350,0.18752215526409075
3360,0.1872791519434629
3370,0.18787451533309835
3380,0.1876317638791286
3390,0.1869747899159664
3400,0.18756549074397486
3410,0.18691263487643578
3420,0.18667591950034698
3430,0.18603042876901799
3440,0.18538938662991042
3450,0.18597456170505328
3460,0.18696397941680962
3470,0.1871365035921998
3480,0.18649846573474257
3490,0.1866712002720163
3500,0.1876484560570071
3510,0.1870138654041258
3520,0.1867835468644639
3530,0.1865546218487395
3540,0.1863270777479893
3550,0.18689401537947176
3560,0.18666666666666668
3570,0.18604651162790697
3580,0.1862160371106693
3590,0.185992732077965
3600,0.18616144975288304
3610,0.18671926364234057
3620,0.18649623074401836
3630,0.18666230794377248
3640,0.18760195758564438
3650,0.18815104166666666
3660,0.18792599805258034
3670,0.18808675946908385
3680,0.1878631375080697
3690,0.18725868725868725
3700,0.18741976893453144
3710,0.1872
3720,0.18698149329929803
3730,0.18751989812161732
3740,0.18767862813591615
3750,0.18746041798606713
3760,0.18724344805809914
3770,0.18702770780856423
3780,0.1875589066918002
3790,0.18734335839598998
3800,0.1875
3810,0.18728575880336554
3820,0.18670394532463497
3830,0.18722876627402354
3840,0.18738404452690166
3850,0.1875385564466379
3860,0.18732697631498
3870,0.18711656441717792
3880,0.1879975505205144
3890,0.18778625954198475
3900,0.18902439024390244
3910,0.1884498480243161
3920,0.18859915100060642
3930,0.18802902055622733
3940,0.1881785283474065
3950,0.18796992481203006
3960,0.1874062968515742
3970,0.18720095693779903
3980,0.1877051626380185
3990,0.1878535278356654
4000,0.1876484560570071
4010,0.1877962085308057
4020,0.18724158298877733
4030,0.18738951090159103
4040,0.18753674309229865
4050,0.18803168084482252
4060,0.18817676324261048
4070,0.18797431406888498
4080,0.18811881188118812
4090,0.18791751379610805
4100,0.18806143146913937
4110,0.18786127167630057
4120,0.188347274300548
4130,0.18814729574223246
4140,0.18897185525560023
4150,0.18945256520492978
4160,0.18891111746213204
4170,0.18905047048759624
4180,0.18952760387023335
4190,0.1893272778881635
4200,0.18946474086661003
4210,0.18960158236790053
4220,0.18940248027057496
4230,0.18953880764904388
4240,0.18967452300785634
4250,0.1894766302826756
4260,0.18927973199329984
4270,0.1894150417827298
4280,0.18888888888888888
4290,0.18902439024390244
4300,0.1885019347705915
4310,0.1889655172413793
4320,0.1894273127753304
4330,0.18890719384953322
4340,0.18936694984927377
4350,0.19015047879616964
4360,0.19028119028119028
4370,0.1900871459694989
4380,0.18989405052974734
4390,0.1897018970189702
4400,0.18983234180638184
4410,0.18996222342147867
4420,0.18977119784656796
4430,0.19022031166039763
4440,0.1903485254691689
4450,0.1901577962021931
4460,0.18996798292422626
4470,0.1904127829560586
4480,0.1899070385126162
4490,0.1897191308956015
4500,0.19047619047619047
4510,0.1902876748482449
4520,0.18978678599631482
4530,0.18960084033613445
4540,0.1894157715483364
4550,0.1895424836601307
4560,0.18904823989569752
4570,0.18948464341488808
4580,0.18930148013502987
4590,0.18911917098445596
4600,0.18986032074495604
4610,0.18998451213216314
4620,0.18980169971671387
4630,0.19053741321676523
4640,0.19035402770651616
4650,0.19078104993597952
4660,0.19090212113467928
4670,0.1913265306122449
4680,0.19144602851323828
4690,0.19217081850533807
4700,0.19228817858954844
4710,0.19180161943319837
4720,0.19222025764081838
4730,0.19233677842198135
4740,0.1921529175050302
4750,0.1928679055750879
4760,0.19268353796041093
4770,0.19220194951262184
4780,0.19172276240339067
4790,0.19154228855721392
4800,0.1913626209977662
4810,0.19118375433382861
4820,0.19100568322213984
4830,0.19112207151664612
4840,0.19123800147674133
4850,0.19135347580447065
4860,0.19146849718068154
4870,0.19187469407733726
4880,0.19198827552515876
4890,0.19210141394441735
4900,0.1922141119221411
4910,0.19261598251153753
4920,0.1930164888457808
4930,0.192838132107428
4940,0.19294856314899783
4950,0.1927710843373494
4960,0.19230769230769232
4970,0.19213240585272248
4980,0.1919578745811393
4990,0.19206880076445293
5000,0.1921793037672866
